,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
0,2001-01-02,0.09675581400000001,0.83127907,0.071965116,-0.018231395,3953.219971,4028.570068,3929.3701170000004,4018.8798829999996,4018.8798829999996,0.0
1,2001-01-03,0.100804878,0.8122439020000001,0.08697561,-0.0148,3977.580078,4067.6599119999996,3977.580078,4060.0200200000004,4060.0200200000004,0.0
2,2001-01-04,0.07623529400000001,0.8384640520000001,0.085294118,0.00984183,4180.970215,4180.970215,4109.549805,4115.370117,4115.370117,0.0
3,2001-01-05,0.09880952400000001,0.77284127,0.128333333,0.028646032000000002,4116.339844,4195.009765999999,4115.350098,4183.72998,4183.72998,0.0
4,2001-01-08,0.098348485,0.819681818,0.08196969700000001,-0.055812121,4164.759765999999,4206.720215,4101.529785,4120.430176,4120.430176,0.0
5,2001-01-09,0.126142857,0.830098901,0.043758242,-0.088437363,4114.740234000001,4166.839844,4101.009765999999,4125.310059,4125.310059,0.0
6,2001-01-10,0.2625,0.7375,0.0,-0.221975,4151.580078,4155.859863000001,4035.4399409999996,4047.639893,4047.639893,0.0
7,2001-01-11,0.1025,0.821,0.0765,0.0,4066.1298829999996,4077.540039,4006.540039,4027.1298829999996,4027.1298829999996,0.0
8,2001-01-23,0.036822581,0.899870968,0.063306452,0.024993547999999997,4277.830078,4321.75,4272.870117,4296.689941,4296.689941,0.0
9,2001-01-24,0.084511111,0.8118444440000001,0.10362222199999999,0.012122222,4320.509765999999,4339.410156,4295.709961,4326.419922,4326.419922,0.0
10,2001-01-25,0.135554054,0.7996756759999999,0.06477027,-0.07685,4327.839844,4341.330078,4273.700195,4330.220215,4330.220215,0.0
12,2001-01-29,0.135833333,0.7272291670000001,0.1369375,0.015614583000000001,4158.859863000001,4262.759765999999,4158.859863000001,4234.569824,4234.569824,0.0
13,2001-01-30,0.14748837199999998,0.7349534879999999,0.117534884,-0.011330233,4269.410156,4373.220215,4256.759765999999,4372.040039,4372.040039,0.0
14,2001-01-31,0.10728205099999999,0.829923077,0.062794872,-0.049941026,4367.580078,4409.330078,4322.680176,4326.720215,4326.720215,0.0
15,2001-02-01,0.109875,0.770625,0.1195,-0.008995313000000001,4303.129883,4355.390136999999,4230.169922,4286.109863000001,4286.109863000001,0.0
16,2001-02-02,0.045185185,0.7937407409999999,0.161074074,0.10697037,4280.959961,4373.399902,4280.959961,4352.259765999999,4352.259765999999,0.0
17,2001-02-05,0.09225,0.753954545,0.153795455,0.052754545,4337.52002,4397.189941,4337.52002,4370.470215,4370.470215,0.0
18,2001-02-06,0.076035714,0.8411785709999999,0.08278571400000001,0.018828571000000002,4392.240234000001,4404.669922,4369.930176,4375.290039,4375.290039,0.0
19,2001-02-07,0.108806452,0.762580645,0.128580645,-0.003777419,4376.919922,4379.220215,4303.279785,4312.930176,4312.930176,0.0
20,2001-02-08,0.085441176,0.763911765,0.150647059,0.032241176,4293.870117,4387.850098,4290.879883,4381.189941,4381.189941,0.0
21,2001-02-09,0.077863636,0.7486363640000001,0.173522727,0.111645455,4395.439941,4436.47998,4387.990234000001,4397.330078,4397.330078,0.0
22,2001-02-12,0.087875,0.87975,0.032375,-0.082479167,4429.910156,4446.080078,4389.02002,4406.299805,4406.299805,0.0
23,2001-02-13,0.13325,0.77753125,0.08921875,-0.048984375,4437.319824,4440.759765999999,4354.100098,4363.049805,4363.049805,0.0
24,2001-02-14,0.066321429,0.8808928570000001,0.052785714000000004,-0.009266070999999999,4350.330078,4375.509765999999,4320.890136999999,4363.109863000001,4363.109863000001,0.0
25,2001-02-15,0.162205882,0.780617647,0.057176471,-0.11105,4372.600098,4459.189941,4371.950195,4437.990234000001,4437.990234000001,0.0
26,2001-02-16,0.14047222199999998,0.738777778,0.12075,-0.060147222,4458.72998,4462.109863000001,4315.950195,4330.319824,4330.319824,0.0
